Year,	Temperature Anomalies based on 20th century averages (°C),	Minimum Arctic Sea Ice Extent (Millions of squared km)
1980,	0.33,	7.7
1981,	0.51,	7.1
1982,	0.14,	7.3
1983,	0.53,	7.4
1984,	0.3,	6.8
1985,	0.22,	6.7
1986,	0.32,	7.4
1987,	0.32,	7.3
1988,	0.56,	7.4
1989,	0.17,	7
1990,	0.36,	6.1
1991,	0.43,	6.5
1992,	0.46,	7.5
1993,	0.36,	6.4
1994,	0.27,	7.1
1995,	0.56,	6.1
1996,	0.25,	7.6
1997,	0.34,	6.7
1998,	0.6,	6.5
1999,	0.51,	6.1
2000,	0.34,	6.3
2001,	0.47,	6.7
2002,	0.71,	5.8
2003,	0.72,	6.1
2004,	0.62,	6
2005,	0.65,	5.5
2006,	0.51,	5.9
2007,	0.92,	4.3
2008,	0.28,	4.7
2009,	0.6,	5.3
2010,	0.74,	4.9
2011,	0.47,	4.6
2012,	0.45,	3.6
2013,	0.62,	5.2
2014,	0.7,	5.2
2015,	0.84,	4.6
2016,	1.12,	4.5
2017,	0.98,	4.8
2018,	0.75,	4.8
2019,	0.94,	4.3
